"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"Choc1, Choc2, Choc3, Choc4, Choc5, Choc6, Choc7, Choc8, Choc9";"SW_choc_v1+v2_HS_CPG135001S30_1u";9;"Choc_SW";;;
2;"D1, D2, D3, D4, D5, D6, D7, D8, D9";"D_SOD-123";9;"1N4148W";;;
3;"J1";"PinHeader_1x08_P2.54mm_Vertical";1;"ButtonRibbonConnector";;;
4;"R1, R2, R3";"R_0603_1608Metric";3;"10k";;;
